gene_set	protein	comparison	n_aggressive	n_reference	median_aggressive	median_reference	effect_size	p_value	fdr	expected_direction	observed_direction	direction_reproduced_at_protein_level	is_simulated	source
lipid_synthesis_srebp	SREBF1	aggressive_vs_reference	14	9	19.2762	19.533	-0.2568	0.07776	0.2916	up	down	False	False	bcm
lipid_synthesis_srebp	FASN	aggressive_vs_reference	41	23	27.3109	27.1796	0.1312	0.018391	0.092	up	up	True	False	bcm
lipid_synthesis_srebp	ACACA	aggressive_vs_reference	41	23	23.8876	23.6585	0.2291	0.007688	0.0577	up	up	True	False	bcm
lipid_synthesis_srebp	ACLY	aggressive_vs_reference	41	23	27.5472	27.5336	0.0136	0.828306	0.8832	up	up	True	False	bcm
lipid_synthesis_srebp	HMGCR	aggressive_vs_reference	10	5	18.1396	17.953	0.1865	0.391267	0.8832	up	up	True	False	bcm
lipid_synthesis_srebp	SQLE	aggressive_vs_reference	41	23	21.2758	21.0402	0.2356	0.097308	0.2919	up	up	True	False	bcm
desaturation_elongation	SCD	aggressive_vs_reference	40	23	21.8172	21.7672	0.05	0.786203	0.8832	up	up	True	False	bcm
desaturation_elongation	FADS1	aggressive_vs_reference	11	8	18.8009	18.6364	0.1645	0.804353	0.8832	up	up	True	False	bcm
desaturation_elongation	FADS2	aggressive_vs_reference	22	13	19.8852	19.885	0.0002	0.864462	0.8832	up	up	True	False	bcm
fatty_acid_uptake_oxidation	CD36	aggressive_vs_reference	41	23	22.4503	22.3417	0.1086	0.731747	0.8832	down	up	False	False	bcm
fatty_acid_uptake_oxidation	FABP4	aggressive_vs_reference	41	23	26.3902	26.1441	0.246	0.413055	0.8832	down	up	False	False	bcm
fatty_acid_uptake_oxidation	FABP5	aggressive_vs_reference	41	23	28.4619	28.3605	0.1014	0.883199	0.8832	down	up	False	False	bcm
fatty_acid_uptake_oxidation	CPT1A	aggressive_vs_reference	41	23	24.5227	24.5685	-0.0459	0.497385	0.8832	down	down	True	False	bcm
fatty_acid_uptake_oxidation	ACADL	aggressive_vs_reference	41	23	23.0659	23.678	-0.6121	2.2e-05	0.0003	down	down	True	False	bcm
fatty_acid_uptake_oxidation	HADHA	aggressive_vs_reference	41	23	28.5095	28.45	0.0595	0.669558	0.8832	down	up	False	False	bcm
