gene_set	protein	comparison	n_aggressive	n_reference	median_aggressive	median_reference	effect_size	p_value	fdr	expected_direction	observed_direction	direction_reproduced_at_protein_level	is_simulated	source
lipid_synthesis_srebp	SREBF1	aggressive_vs_reference	15	14	-0.0208	0.0532	-0.074	0.275234	0.5161	up	down	False	False	umich
lipid_synthesis_srebp	FASN	aggressive_vs_reference	46	46	0.0442	-0.0671	0.1113	0.002928	0.0146	up	up	True	False	umich
lipid_synthesis_srebp	ACACA	aggressive_vs_reference	46	46	0.1861	-0.0577	0.2439	8.9e-05	0.0007	up	up	True	False	umich
lipid_synthesis_srebp	ACLY	aggressive_vs_reference	46	46	-0.0386	0.0749	-0.1134	0.067656	0.1691	up	down	False	False	umich
lipid_synthesis_srebp	HMGCR	aggressive_vs_reference	11	14	-0.1829	-0.4422	0.2593	0.273561	0.5161	up	up	True	False	umich
lipid_synthesis_srebp	SQLE	aggressive_vs_reference	46	46	0.1436	-0.0014	0.145	0.013308	0.0499	up	up	True	False	umich
desaturation_elongation	SCD	aggressive_vs_reference	45	45	0.0604	0.0283	0.032	0.689562	0.862	up	up	True	False	umich
desaturation_elongation	FADS1	aggressive_vs_reference	12	14	0.0533	-0.0231	0.0764	0.836996	0.8697	up	up	True	False	umich
desaturation_elongation	FADS2	aggressive_vs_reference	25	30	-0.1167	0.0628	-0.1794	0.370326	0.6172	up	down	False	False	umich
fatty_acid_uptake_oxidation	CD36	aggressive_vs_reference	46	46	-1.1774	-0.9798	-0.1976	0.516894	0.7049	down	down	True	False	umich
fatty_acid_uptake_oxidation	FABP4	aggressive_vs_reference	46	46	-1.2671	-1.4623	0.1952	0.869741	0.8697	down	up	False	False	umich
fatty_acid_uptake_oxidation	FABP5	aggressive_vs_reference	46	46	-0.2321	-0.0718	-0.1603	0.026045	0.0781	down	down	True	False	umich
fatty_acid_uptake_oxidation	CPT1A	aggressive_vs_reference	46	46	-0.2276	-0.2509	0.0233	0.506845	0.7049	down	up	False	False	umich
fatty_acid_uptake_oxidation	ACADL	aggressive_vs_reference	46	46	-1.3181	-0.6142	-0.7039	0.0	0.0	down	down	True	False	umich
fatty_acid_uptake_oxidation	HADHA	aggressive_vs_reference	46	46	-0.24	-0.2786	0.0385	0.857462	0.8697	down	up	False	False	umich
