gene_set	protein	n	coef_unadjusted	pval_unadjusted	coef_purity_grade_stage_adjusted	pval_purity_grade_stage_adjusted	covariates_used	fdr_unadjusted	fdr_purity_grade_stage_adjusted	source
lipid_synthesis_srebp	SREBF1	29	-0.1855	0.370425	-0.0952	0.697275	purity, grade, stage	0.6174	0.8846	umich
lipid_synthesis_srebp	FASN	92	0.1245	0.043336	0.1025	0.095777	purity, grade, stage	0.1466	0.2799	umich
lipid_synthesis_srebp	ACACA	92	0.1804	0.002989	0.1702	0.006087	purity, grade, stage	0.0224	0.0457	umich
lipid_synthesis_srebp	ACLY	92	-0.0731	0.202531	-0.0899	0.115273	purity, grade, stage	0.434	0.2799	umich
lipid_synthesis_srebp	HMGCR	25	0.3336	0.182575	0.3095	0.263312	purity, grade, stage	0.434	0.4937	umich
lipid_synthesis_srebp	SQLE	92	0.1512	0.048854	0.1563	0.046082	purity, grade, stage	0.1466	0.1728	umich
desaturation_elongation	SCD	90	0.0253	0.850211	0.0472	0.728284	purity, grade, stage	0.8666	0.8846	umich
desaturation_elongation	FADS1	26	0.0416	0.857056	0.037	0.879337	purity, grade, stage	0.8666	0.8846	umich
desaturation_elongation	FADS2	55	-0.1444	0.30202	-0.2107	0.130597	purity, grade, stage	0.5663	0.2799	umich
fatty_acid_uptake_oxidation	CD36	92	-0.0301	0.866638	0.0242	0.884554	purity, grade, stage	0.8666	0.8846	umich
fatty_acid_uptake_oxidation	FABP4	92	0.0515	0.835646	0.1315	0.587619	purity, grade, stage	0.8666	0.8846	umich
fatty_acid_uptake_oxidation	FABP5	92	-0.1645	0.027581	-0.1671	0.027832	purity, grade, stage	0.1379	0.1392	umich
fatty_acid_uptake_oxidation	CPT1A	92	0.0748	0.494116	0.0588	0.597299	purity, grade, stage	0.7412	0.8846	umich
fatty_acid_uptake_oxidation	ACADL	92	-0.8922	0.0	-0.8868	0.0	purity, grade, stage	0.0	0.0	umich
fatty_acid_uptake_oxidation	HADHA	92	-0.0214	0.744089	-0.0133	0.841229	purity, grade, stage	0.8666	0.8846	umich
