protein	umich_coef_adjusted	umich_fdr_adjusted	bcm_coef_adjusted	bcm_fdr_adjusted	concordant_direction_adjusted	significant_both_adjusted
ACACA	0.1702	0.0457	0.1585	0.3242	True	False
ACADL	-0.8868	0.0	-0.8165	0.0	True	True
ACLY	-0.0899	0.2799	0.0115	0.9398	False	False
CD36	0.0242	0.8846	0.0888	0.9398	True	False
CPT1A	0.0588	0.8846	-0.1004	0.9398	False	False
FABP4	0.1315	0.8846	0.2665	0.9398	True	False
FABP5	-0.1671	0.1392	0.0143	0.9398	False	False
FADS1	0.037	0.8846	0.1085	0.9398	True	False
FADS2	-0.2107	0.2799	-0.0637	0.9398	True	False
FASN	0.1025	0.2799	0.0991	0.9398	True	False
HADHA	-0.0133	0.8846	-0.0244	0.9398	True	False
HMGCR	0.3095	0.4937	0.145	0.9398	True	False
SCD	0.0472	0.8846	0.0006	0.9972	True	False
SQLE	0.1563	0.1728	0.0947	0.9398	True	False
SREBF1	-0.0952	0.8846	-0.091	0.9398	True	False
